IDQUEST	ANY_NAIX	P1	P2	P3_A	P3_B	P3_C	P3_D	P3BIS	P4_A	P4_B	P4_C	P4_D	P5_A	P5_B	P5_C	P5_D	P6	P7	P8_A	P8_B	P8_C	P8_D	P9_A	P9_B	P9_C	P9_D	P10	P11	P15	P17	P18	P22	P23	P25	P26	P30	P31	P35	P39	P40	P42	P43	P47	P48	P50A	P50B	P50C	P51A	P51B	P51C	P56	P60	P64	P65	P66	P70	P73	P74	P75	P79	P81	P85	P89	P93	P97	P101	P105	P109	P116	P117	P118	P119	P120	P121	P122	P123	P124	P128A_1	P128A_2	P128A_3	P128A_4	P128B_1	P128B_2	P128B_3	P128B_4	P128C_1	P128C_2	P128C_3	P128C_4	P128D_1	P128D_2	P128D_3	P128D_4	P128E_1	P128E_2	P128E_3	P128E_4	P129	P130	P130A	P130B	P131	P132	P134	P135	SEXE	SIT_PROF	AMBIT_TERRITORIAL	EDAT_5	CAL
118	1979	3	 	1	1	1	1	 	1	1	1	1	1	2	1	2	2	2	1	1	1	1	1	1	2	 	3	5	2	2	5	2	2	2	1	1	5	1	2	 	2	5	142	0	 	 	 	 	 	 	4	2	1	1	5	1	1	1	5	3	1	5	1	1	99	5	5	5	1	3	2	2	1	2	2	1	14	10	10	10	6	10	10	10	10	7	3	7	2	5	5	0	0	8	8	8	8	2	1	 	 	2	2002	3	1	1	3	7	5	19797
218	1973	4	 	1	1	1	1	 	1	1	1	1	1	1	1	1	4	999	2	 	 	 	1	1	1	1	3	1	1	2	10	4	1	2	10	4	10	99	1	1	1	1	1	1	1	 	 	11	 	 	14	10	2	 	99	1	2	 	14	14	3	3	11	14	99	3	3	14	1	2	2	2	2	2	99	1	14	10	10	10	10	10	10	10	10	10	10	10	10	5	4	4	4	0	0	0	0	2	2	 	 	1	0	3	1	1	4	7	6	19897
318	2001	2	 	1	2	1	2	 	1	1	1	1	1	2	1	2	193	2	2	 	 	 	1	1	1	1	5	5	3	3	5	2	3	2	5	193	5	6	3	 	 	 	 	0	 	 	 	 	 	 	5	5	1	1	6	7	 	 	99	99	8	5	5	5	5	5	5	5	98	4	5	1	4	3	3	1	5	8	3	6	2	10	10	10	10	8	3	6	2	10	9	10	9	1	0	0	0	2	2	 	 	3	2004	3	2	6	99	7	1	20699
418	1974	2	 	2	 	 	 	 	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	2	2	 	2	5	2	2	5	2	2	4	5	2	5	5	1	1	2	5	2	0	 	 	 	 	 	 	5	5	2	 	99	1	2	 	5	5	5	5	5	5	5	5	5	5	2	4	5	1	99	99	99	1	12	0	0	0	0	10	10	10	10	10	10	8	8	8	5	0	0	8	9	9	9	2	2	 	3	2	1993	4	1	6	4	7	6	16849
518	1977	2	 	1	1	1	1	 	1	1	1	1	1	2	1	2	2	2	2	 	 	 	1	1	1	1	3	5	2	3	5	2	2	2	5	2	5	5	1	1	2	5	2	1	1	 	 	5	 	 	5	5	2	 	99	1	2	 	5	6	5	5	5	5	5	5	5	5	4	4	5	2	4	2	3	1	5	10	8	10	6	10	10	10	10	10	6	10	0	9	8	8	7	6	6	6	6	2	2	 	 	2	1996	3	1	6	4	7	6	16849
618	1977	2	 	1	1	1	2	 	1	1	1	1	1	2	2	 	999	2	2	 	 	 	2	 	 	 	1	99	2	1	5	99	2	1	5	142	5	97	2	 	2	5	2	0	 	 	 	 	 	 	5	5	2	 	99	1	2	 	5	88	5	5	5	5	5	5	5	5	1	4	5	1	2	2	2	1	5	8	5	8	0	10	10	10	10	6	0	4	0	0	0	0	0	0	0	0	0	2	2	 	 	2	1990	2	1	6	4	7	6	16849
718	1973	4	 	1	1	1	2	 	1	1	1	1	1	1	1	1	4	4	2	 	 	 	1	1	1	2	3	12	1	2	10	4	1	3	10	4	10	10	1	1	2	5	2	1	1	 	 	12	 	 	12	12	2	 	99	1	1	1	10	3	12	12	12	10	11	5	12	12	98	3	2	2	4	3	3	1	2	8	7	8	5	10	10	10	10	9	9	9	9	8	9	7	7	0	0	0	0	2	2	 	 	1	0	3	1	1	3	7	6	19897
818	1945	4	 	1	1	2	 	 	1	1	1	1	1	1	1	2	4	4	2	 	 	 	1	1	2	 	3	10	1	2	10	4	1	2	10	2	10	10	1	1	1	10	4	1	1	 	 	10	 	 	13	12	2	 	99	4	1	2	12	9	12	12	11	12	2	5	5	99	1	3	2	2	2	2	2	1	3	10	10	5	0	10	10	10	9	10	10	7	0	8	8	2	0	0	0	0	0	2	2	 	5	1	0	2	1	6	1	7	12	19257
918	1977	2	 	2	 	 	 	 	1	1	1	1	2	 	 	 	108	2	2	 	 	 	1	1	1	1	2	6	3	1	6	108	3	99	6	108	6	6	2	 	2	5	2	0	 	 	 	 	 	 	5	5	2	 	99	1	3	 	5	5	5	5	5	5	5	5	5	8	98	98	5	1	3	2	99	2	3	3	0	4	0	10	10	10	10	0	0	0	0	6	6	6	6	0	0	0	0	2	99	 	 	3	2006	2	2	1	5	7	6	20431
1018	1977	2	 	1	1	1	1	 	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	4	5	2	2	5	2	1	3	5	4	5	12	1	1	1	5	2	2	1	1	 	5	5	 	4	5	2	 	99	1	1	1	5	14	5	5	5	5	1	5	5	5	2	3	1	2	2	2	1	1	14	9	9	9	9	10	10	10	10	9	9	9	7	7	6	6	6	8	8	8	8	2	2	 	 	1	0	3	1	1	3	7	6	19897
1118	1963	4	 	1	1	1	2	 	1	1	1	1	1	1	1	2	4	4	2	 	 	 	1	1	1	1	4	10	1	2	10	4	1	1	10	4	10	10	1	1	1	10	4	2	1	1	 	10	10	 	12	12	2	 	99	1	2	 	14	14	11	1	2	10	1	3	5	5	99	3	2	2	3	1	2	1	13	10	10	10	5	10	10	10	10	10	10	9	7	8	8	9	6	0	0	0	0	2	2	 	 	1	0	2	1	1	4	7	8	19770
