Variable	DescrCA	DescrES	DescrEN	Valor_Value	LabelCA	LabelES	LabelEN
IDQUEST	Identificador del qüestionari	Identificador del cuestionario	Questionnaire identifier				
ANY_NAIX	Quin és el seu any de naixement?	¿Cuál es su año de nacimiento?	What is your year of birth?				
P1	Llengua d'identificació	Lengua de identificación	Language of identification				
P1				1	Català	Catalán	Catalan
P1				2	Castellà	Castellano	Spanish
P1				3	Català i castellà	Catalán y castellano	Catalan and Spanish
P1				4	Aranès	Aranés	Aranese
P1				99	No consta	No consta	N/A
P1				105	Alemany	Alemán	German
P1				107	Anglès	Inglés	English
P1				108	Àrab	Árabe	Arabic
P1				139	Francès	Francés	French
P1				142	Gallec	Gallego	Galician
P1				158	Italià	Italiano	Italian
P1				193	Portuguès	Portugués	Portuguese
P1				197	Romanès	Rumano	Romanian
P1				198	Rus	Ruso	Russian
P1				234	Xinès	Chino	Chinese
P1				991	Berber Amazic	Berber Amazig	Berber Imazighen
P1				998	Altres llengües	Otras lenguas	Other languages
P1				999	Altres combinacions de llengües	Otras combinaciones de lenguas	Other language combinations
P2	Llengües que parla fluïdament	Lenguas que habla fluidamente	Languages you speak fluently				
P2				1	Català	Catalán	Catalan
P2				2	Castellà	Castellano	Spanish
P2				3	Català i castellà	Catalán y castellano	Catalan and Spanish
P2				4	Aranès	Aranés	Aranese
P2				99	No consta	No consta	N/A
P2				105	Alemany	Alemán	German
P2				107	Anglès	Inglés	English
P2				108	Àrab	Árabe	Arabic
P2				139	Francès	Francés	French
P2				142	Gallec	Gallego	Galician
P2				158	Italià	Italiano	Italian
P2				193	Portuguès	Portugués	Portuguese
P2				197	Romanès	Rumano	Romanian
P2				198	Rus	Ruso	Russian
P2				234	Xinès	Chino	Chinese
P2				991	Berber Amazic	Berber Amazig	Berber Imazighen
P2				998	Altres llengües	Otras lenguas	Other languages
P2				999	Altres combinacions de llengües	Otras combinaciones de lenguas	Other language combinations
P3_A	Coneixement de la llengua catalana. Entén el català?	Conocimiento de la lengua catalana. ¿Entiende el catalán?	Knowledge of the Catalan language. Do you understand Catalan?				
P3_A				1	Sí	Sí	Yes
P3_A				2	No	No	No
