Noms de la població. 2022
Catalunya
Font: Idescat, a partir del Padró continu de l'INE.
Nota: Només es mostren els noms de freqüència igual o superior a 4.
.. Dada confidencial, amb baixa fiabilitat o no disponible
Institut d'Estadística de Catalunya
http://www.idescat.cat/noms/
Pos.;Sexe;Nom;Rànquing. Freqüència;Rànquing. ‰
1;H;ANTONIO;89.957;11,54
2;D;MARIA/MARÍA;88.985;11,42
3;H;JOSÉ;84.830;10,89
4;D;MONTSERRAT;75.819;9,73
5;H;JORDI;72.247;9,27
6;D;MARÍA DEL CARMEN;69.985;8,98
7;H;DAVID;68.761;8,82
8;H;FRANCISCO;66.841;8,58
9;H;MANUEL;63.727;8,18
10;H;JUAN;59.441;7,63
11;H;MARC;55.236;7,09
12;D;MARTA;53.018;6,80
13;D;CARMEN;50.016;6,42
14;D;NÚRIA/NURIA;49.268;6,32
15;D;LAURA;48.689;6,25
16;H;DANIEL;48.333;6,20
17;H;CARLOS;43.206;5,54
18;D;CRISTINA;42.476;5,45
19;H;JOAN;41.447;5,32
20;D;MARIA TERESA/MARÍA TERESA;40.341;5,18
21;D;JOSEFA;39.558;5,08
22;D;ISABEL;38.497;4,94
23;H;JAVIER;37.505;4,81
24;H;JOSEP;37.007;4,75
25;D;ANA MARIA/ANA MARÍA;35.666;4,58
26;D;ANNA;35.424;4,55
27;D;ANA;33.345;4,28
28;H;RAMON/RAMÓN;33.266;4,27
29;H;JORGE;32.884;4,22
30;H;JOSÉ MARIA/JOSÉ MARÍA;30.578;3,92
31;D;ANTÒNIA/ANTONIA;30.565;3,92
32;H;ALBERT;30.448;3,91
33;D;FRANCISCA;30.399;3,90
34;D;MARIA DOLORES/MARÍA DOLORES;30.023;3,85
35;H;MIGUEL;29.813;3,83
36;H;PEDRO;29.584;3,80
37;H;XAVIER;29.054;3,73
38;D;SÍLVIA/SILVIA;28.670;3,68
39;D;DOLORES;28.479;3,65
40;D;JÚLIA/JULIA;28.362;3,64
41;H;SERGIO;27.612;3,54
42;H;JOSÉ ANTONIO;27.421;3,52
43;H;ALEJANDRO;26.887;3,45
44;H;FRANCISCO JAVIER;26.767;3,43
45;D;LAIA;26.583;3,41
46;H;RAFAEL;26.354;3,38
47;D;SARA;26.059;3,34
48;D;ROSA;25.770;3,31
49;H;ÒSCAR/ÓSCAR;25.684;3,30
50;D;ROSA MARIA/ROSA MARÍA;25.530;3,28
51;D;PAULA;25.418;3,26
52;D;MARIA DEL PILAR/MARÍA DEL PILAR;25.412;3,26
53;H;JOSÉ LUIS;24.842;3,19
54;H;ÀLEX/ÁLEX;24.653;3,16
55;D;PILAR;23.642;3,03
56;H;LUIS;23.621;3,03
57;H;ÀNGEL/ÁNGEL;23.370;3,00
58;D;ALBA;23.070;2,96
59;D;MERCEDES;22.889;2,94
60;D;MARIA ISABEL/MARÍA ISABEL;22.817;2,93
61;H;PAU;22.676;2,91
62;D;MÒNICA/MÓNICA;22.658;2,91
63;H;VÍCTOR;22.527;2,89
64;H;MOHAMED;22.395;2,87
65;D;TERESA;22.384;2,87
66;D;CARLA;21.992;2,82
67;D;EVA;21.962;2,82
68;H;ALBERTO;21.699;2,78
69;H;IVAN/IVÁN;21.547;2,77
70;H;POL;21.073;2,70
71;D;SANDRA;20.919;2,68
72;D;MIREIA;20.236;2,60
73;D;SÒNIA/SONIA;20.043;2,57
74;H;JESÚS;19.974;2,56
75;D;RAQUEL;19.796;2,54
76;H;RAÜL/RAÚL;19.684;2,53
77;D;MARIA ROSA/MARÍA ROSA;19.349;2,48
78;H;JAUME;19.178;2,46
79;H;SERGI;18.960;2,43
80;D;MARIA ÁNGELES/MARÍA ÁNGELES;18.925;2,43
81;H;GERARD;18.923;2,43
82;D;LUCÍA;18.857;2,42
83;D;MARINA;18.792;2,41
84;H;ARNAU;18.464;2,37
85;H;FERNANDO;18.415;2,36
86;D;CONCEPCIÓN;18.296;2,35
87;D;ELENA;18.028;2,31
88;H;ORIOL;18.003;2,31
89;H;ERIC/ÈRIC/ÉRIC;17.972;2,31
