Pos.,Sexe,Nom,freq,permil
1,H,antonio,89957,11.54
2,D,maria,88985,11.42
3,H,jose,84830,10.89
4,D,montserrat,75819,9.73
5,H,jordi,72247,9.27
6,D,maria del carmen,69985,8.98
7,H,david,68761,8.82
8,H,francisco,66841,8.58
9,H,manuel,63727,8.18
10,H,juan,59441,7.63
11,H,marc,55236,7.09
12,D,marta,53018,6.8
13,D,carmen,50016,6.42
14,D,nuria,49268,6.32
15,D,laura,48689,6.25
16,H,daniel,48333,6.2
17,H,carlos,43206,5.54
18,D,cristina,42476,5.45
19,H,joan,41447,5.32
20,D,maria teresa,40341,5.18
21,D,josefa,39558,5.08
22,D,isabel,38497,4.94
23,H,javier,37505,4.81
24,H,josep,37007,4.75
25,D,ana maria,35666,4.58
26,D,anna,35424,4.55
27,D,ana,33345,4.28
28,H,ramon,33266,4.27
29,H,jorge,32884,4.22
30,H,jose maria,30578,3.92
31,D,antonia,30565,3.92
32,H,albert,30448,3.91
33,D,francisca,30399,3.9
34,D,maria dolores,30023,3.85
35,H,miguel,29813,3.83
36,H,pedro,29584,3.8
37,H,xavier,29054,3.73
38,D,silvia,28670,3.68
39,D,dolores,28479,3.65
40,D,julia,28362,3.64
41,H,sergio,27612,3.54
42,H,jose antonio,27421,3.52
43,H,alejandro,26887,3.45
44,H,francisco javier,26767,3.43
45,D,laia,26583,3.41
46,H,rafael,26354,3.38
47,D,sara,26059,3.34
48,D,rosa,25770,3.31
49,H,oscar,25684,3.3
50,D,rosa maria,25530,3.28
51,D,paula,25418,3.26
52,D,maria del pilar,25412,3.26
53,H,jose luis,24842,3.19
54,H,alex,24653,3.16
55,D,pilar,23642,3.03
56,H,luis,23621,3.03
57,H,angel,23370,3.0
58,D,alba,23070,2.96
59,D,mercedes,22889,2.94
60,D,maria isabel,22817,2.93
61,H,pau,22676,2.91
62,D,monica,22658,2.91
63,H,victor,22527,2.89
64,H,mohamed,22395,2.87
65,D,teresa,22384,2.87
66,D,carla,21992,2.82
67,D,eva,21962,2.82
68,H,alberto,21699,2.78
69,H,ivan,21547,2.77
70,H,pol,21073,2.7
71,D,sandra,20919,2.68
72,D,mireia,20236,2.6
73,D,sonia,20043,2.57
74,H,jesus,19974,2.56
75,D,raquel,19796,2.54
76,H,raul,19684,2.53
77,D,maria rosa,19349,2.48
78,H,jaume,19178,2.46
79,H,sergi,18960,2.43
80,D,maria angeles,18925,2.43
81,H,gerard,18923,2.43
82,D,lucia,18857,2.42
83,D,marina,18792,2.41
84,H,arnau,18464,2.37
85,H,fernando,18415,2.36
86,D,concepcion,18296,2.35
87,D,elena,18028,2.31
88,H,oriol,18003,2.31
89,H,eric,17972,2.31
90,H,miguel angel,17935,2.3
91,D,juana,17608,2.26
92,D,gemma,17198,2.21
93,D,claudia,16901,2.17
94,D,yolanda,16861,2.16
95,D,maria jose,16836,2.16
96,H,joaquin,16699,2.14
97,H,jaime,16573,2.13
98,D,esther,16506,2.12
99,D,susana,16433,2.11
100,H,jose manuel,16098,2.07
101,H,juan carlos,15930,2.04
102,D,andrea,15889,2.04
103,D,manuela,15592,2.0
104,H,juan jose,15565,2.0
105,H,enrique,15337,1.97
106,D,irene,15265,1.96
107,H,roger,14999,1.92
108,D,rosario,14971,1.92
109,H,santiago,14911,1.91
110,H,ruben,14798,1.9
111,H,josep maria,14716,1.89
112,D,martina,14657,1.88
113,H,francesc,14625,1.88
114,H,marti,14580,1.87
115,H,adria,14526,1.86
116,D,maria luisa,14493,1.86
117,H,miquel,14432,1.85
118,D,olga,14295,1.83
119,D,natalia,14010,1.8
120,H,adrian,13724,1.76
121,D,miriam,13684,1.76
